year,GPP
1992,1170.38952
1993,1359.253008
1994,1236.231936
1995,1254.36384
1996,1327.396896
1997,1402.47936
1998,1212.907392
1999,1401.760512
2000,1446.143328
2001,1637.939232
2002,1513.859328
2003,1536.878448
2004,1705.412016
2005,1369.106928
2006,1654.889616
2007,1621.667088
2008,1600.23816
2009,1814.184
2010,2144.758608
2011,1871.103024
2012,1684.409904
2013,1494.932544
2014,1557.255888
2015,1600.389792
2016,1599.24024
2017,1361.360736
2018,1581.442272
2019,1507.041936
2020,1211.185008
2021,1441.099296
2022,1311.973632
2023,1601.707392
